ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
58,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,211",11.33,5.43,5.93,31
59,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,775",24.38,23.46,24.08,57
60,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,622",12,5.09,5.56,31
61,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,929",24.80,23.18,23.80,57
62,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,162",11.26,5.47,5.93,31
63,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,859",24.48,23.30,23.92,57
64,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,376",11.49,5.29,5.75,31
65,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,959",24,23.14,23.76,57
66,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,291",11.33,5.36,5.80,31
67,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,986",23.97,23.09,23.70,57
68,2,_add_bias_,"nebula::_add_bias_(float *, float *, unsigned int, unsigned int, unsigned int)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"36504,    1,    1","  512,    1,    1","132,656",208.32,60.20,40.43,16
69,2,_relu_activate_,"nebula::_relu_activate_(float *, unsigned int)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"36504,    1,    1","  512,    1,    1","100,195",159.39,21.59,53.54,16
70,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,909",34.34,50.31,54.51,31
71,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","92,106",144.45,80.86,61.65,57
72,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,398",35.01,49.16,53.30,31
73,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,962",145.18,81.00,61.75,57
74,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,941",34.66,50.23,54.35,31
75,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,678",144.51,81.24,61.93,57
76,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,221",33.76,49.57,53.72,31
77,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,878",144.67,81.07,61.80,57
78,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,984",33.98,50.13,54.22,31
79,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","92,386",144.64,80.62,61.46,57
80,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,315",34.69,49.35,53.48,31
81,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,942",144.64,81.01,61.75,57
82,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,194",34.08,49.64,53.78,31
83,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","92,408",145.09,80.60,61.44,57
84,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,530",34.46,48.86,52.86,31
85,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","92,009",145.22,80.96,61.72,57
86,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,856",33.82,50.44,54.62,31
87,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","92,043",144.54,80.92,61.69,57
88,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,903",33.86,50.33,54.67,31
89,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","92,020",144.38,80.94,61.71,57
90,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,201",34.50,49.62,53.76,31
91,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,632",144.90,81.29,61.97,57
92,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,233",33.82,49.55,53.75,31
93,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,865",144.93,81.08,61.80,57
94,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,824",34.14,50.52,54.80,31
95,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,834",144.80,81.11,61.84,57
96,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,962",34.08,50.19,54.39,31
97,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","92,374",145.15,80.63,61.47,57
98,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,400",33.79,49.17,53.35,31
99,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,804",144.93,81.13,61.85,57
100,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,147",34.02,49.73,53.79,31
101,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,524",144.35,81.38,62.04,57
102,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,110",34.14,49.83,54.07,31
103,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,671",144.80,81.25,61.94,57
104,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,749",34.24,50.70,55.00,31
105,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,985",145.38,80.97,61.73,57
106,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,789",33.79,50.61,54.81,31
107,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,740",144.93,81.19,61.89,57
108,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","21,022",34.34,50.04,54.25,31
109,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,979",144.90,80.98,61.73,57
110,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB," 1141,    1,    1","  512,    1,    1","20,998",34.75,50.10,54.29,31
111,2,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    3","  256,    1,    1","91,839",144.80,81.10,61.83,57
